Respondent_ID,Q1_Gender,Q2_Age_Group,Q3_Annual_Income,Q4_Occupation,Q5_City_Tier,Q6_Handloom_Sarees,Q6_Block_Print_Kurtas_and_Dupatta_Sets,Q6_Handloom_Stoles_and_Scarves,Q6_Artisan_Home_Textiles,Q6_Mens_Handloom_Kurtas_and_Nehru_Jackets,Q7_Banarasi,Q7_Bandhani,Q7_Block_Print,Q7_Chanderi,Q7_Chikankari,Q7_Ikat_Pochampally,Q7_Kalamkari,Q7_Khadi,Q7_Kantha,Q7_Phulkari,Q8_Pure_Cotton,Q8_Cotton-Silk_Blend,Q8_Pure_Silk,Q8_Linen_Cotton-Linen,Q8_Khadi,Q8_Organza_Georgette,Q9_Budget_Per_Purchase,Q10_Matching_Dupatta_Stole,Q10_Handcrafted_Jewellery,Q10_Matching_Footwear_Juttis_Kolhapuris,Q10_Gift_Packaging,Q10_Home_Textile_Matching_Set,Q10_Blouse_Inner_Fabric_Piece,Q10_None__Standalone_only,Q11_Festivals,Q11_Weddings_and_Wedding_Functions,Q11_Office_Corporate_Ethnic_Days,Q11_Casual_Daily_Wear,Q11_Family_Gatherings_and_Pujas,Q11_Gifting_to_Others,Q11_No_Specific_Occasion,Q12_Peak_Shopping_Season,Q13_Purchase_Frequency,Q14_Gift_Handloom_Sarees,Q14_Gift_Stoles_and_Scarves,Q14_Gift_Kurta_Sets,Q14_Gift_Home_Textile_Hampers,Q14_Gift_Curated_Vastraa_Gift_Box,Q14_Gift_I_do_not_gift_ethnic_wear,Q15_Annual_Textile_Spend,Q16_Annual_Gift_Budget,Q17_Brand_D2C_Website,Q17_Instagram_Social_Commerce,Q17_Marketplaces_Amazon_Myntra_Flipkart_Ajio,Q17_Physical_Retail_Exhibitions,Q17_WhatsApp_Shopping,Q17_Local_Weaver_Markets_Haats,Q18_Discovery_Channel,Q19_Style_Preference,Q20_Top_Priority,Q21_Social_Media_Usage,Q22_Online_Purchase_Comfort,Q23_Sustainability_Premium,Q24_Artisan_Story_and_Traceability,Q24_Curated_Collections_by_Occasion_Region,Q24_Easy_Returns_and_Size_Exchange,Q24_Affordable_Pricing_and_Transparency,Q24_Exclusive_Designs,Q24_Loyalty_Rewards_and_Personalization,Q25_Discount_Trigger,Q26_Review_Importance,Q27_Regional_Identity_Influence,Q28_Current_Brand_Source,Q29_Household_Life_Stage,Q30_Purchase_Intent,Q2_Age_Numeric,Q3_Income_Midpoint_Lakhs,Q5_City_Tier_Code,Q9_Budget_Midpoint_INR,Q13_Frequency_Code,Q15_Annual_Spend_Midpoint_INR,Q16_Gift_Budget_Midpoint_INR,Q21_Social_Media_Code,Q22_Online_Trust_Code,Q23_Sustainability_Code,Q26_Review_Code,Q27_Regional_Code,Q30_Purchase_Intent_Binary,Q30_Intent_Code,Derived_Total_Products_Interested,Derived_Total_Styles_Selected,Derived_Total_Occasions,Derived_Total_Addons,Derived_Is_Gifter,Derived_Digital_Readiness_Score,Derived_Estimated_Annual_Value_INR,_Latent_Persona
VSTR_0001,Male,25-34,₹10 - ₹15 Lakhs,Freelancer / Gig Worker,Tier-1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,"₹5,000 - ₹10,000",1,0,0,0,0,0,0,1,1,1,1,0,1,0,Diwali/Navratri Season (Oct-Nov),6-10 times (Regular),0,0,0,0,0,0,"₹30,000 - ₹60,000","Below ₹2,000",1,0,1,0,0,0,Word of Mouth/Recommendations,Minimalist/Understated,Price/Value for Money,1 - 2 hours,Neutral,Neutral,1,0,0,0,1,0,Festive Limited-Edition Drops,Somewhat Important,Strongly Yes,Directly from weavers/exhibitions,Newly Married/Couple,Likely,30,12.5,2,7500,3,45000,1000,3,3,3,3,4,1,4,2,3,5,1,1,3.0,22500,Modern_Minimalist
VSTR_0002,Female,25-34,Below ₹3 Lakhs,Homemaker,Tier-2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"Below ₹1,000",0,1,0,0,0,1,0,1,1,0,0,1,0,0,I shop evenly throughout the year,6-10 times (Regular),0,0,1,0,0,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),1,0,1,0,0,0,Fashion Exhibitions & Melas,Minimalist/Understated,Comfort & Fabric Feel,1 - 2 hours,Neutral,"Yes, definitely",1,0,0,0,0,1,Loyalty Points/Cashback,Not Important,No - purely design-based,Myntra/Ajio/Amazon,Young Family (Children <12),Neutral,30,2.0,3,700,3,10000,0,3,3,5,1,2,0,3,4,2,3,2,0,3.0,2100,Modern_Minimalist
VSTR_0003,Female,45-54,₹10 - ₹15 Lakhs,Salaried Professional,Tier-2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,"₹10,000 - ₹20,000",1,0,0,1,1,1,0,1,1,0,0,1,0,1,Sale/Discount Seasons only,More than 10 times (Frequent),0,0,0,0,0,0,"Above ₹1,00,000","Below ₹2,000",1,0,0,0,1,0,YouTube/Influencer Content,Traditional/Classic,Design & Aesthetic Appeal,Less than 30 min,Somewhat Uncomfortable,"Yes, definitely",1,0,0,0,1,0,Flat Percentage Discount,Very Important,Somewhat Yes,BIBA/W/Aurelia/Global Desi,Joint Family/Multi-generational,Likely,50,12.5,3,15000,4,150000,1000,1,2,5,4,3,1,4,1,1,4,4,1,1.5,60000,Premium_Connoisseur
VSTR_0004,Female,25-34,₹10 - ₹15 Lakhs,Retired,Metro,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,"₹5,000 - ₹10,000",0,0,0,1,0,0,0,1,1,0,1,0,1,0,Diwali/Navratri Season (Oct-Nov),More than 10 times (Frequent),0,1,1,0,1,0,"₹15,000 - ₹30,000","₹5,000 - ₹10,000",1,0,1,0,0,0,Instagram/Facebook Ads & Reels,Minimalist/Understated,Design & Aesthetic Appeal,Less than 30 min,Neutral,Probably yes,0,1,1,0,0,0,Festive Limited-Edition Drops,Somewhat Important,No - purely design-based,BIBA/W/Aurelia/Global Desi,Newly Married/Couple,Highly Likely,30,12.5,1,7500,4,22500,7500,1,3,4,3,2,1,5,4,3,4,1,1,2.0,30000,Modern_Minimalist
VSTR_0005,Male,25-34,₹3 - ₹6 Lakhs,Self-employed / Business Owner,Metro,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,"₹1,000 - ₹2,500",1,1,1,0,0,0,0,1,0,1,0,0,0,1,Sale/Discount Seasons only,3-5 times (Occasional),0,0,0,1,0,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,1,0,0,1,0,YouTube/Influencer Content,Bold/Statement,Authenticity of Craft,30 min - 1 hour,Somewhat Comfortable,Neutral,0,1,1,0,0,0,Bundle Deals,Very Important,Strongly Yes,"Instagram/D2C brands (Suta, Okhai, etc.)",Joint Family/Multi-generational,Likely,30,4.5,1,1750,2,10000,0,2,4,3,4,4,1,4,2,3,3,3,0,3.0,3500,Modern_Minimalist
VSTR_0006,Male,35-44,Above ₹25 Lakhs,Salaried Professional,Metro,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Above ₹20,000",1,0,0,1,0,1,0,0,1,0,1,1,1,0,I shop evenly throughout the year,1-2 times (Rare),1,1,0,1,0,0,"Above ₹1,00,000","₹2,000 - ₹5,000",1,0,1,0,0,0,Word of Mouth/Recommendations,Bold/Statement,Brand Reputation & Reviews,30 min - 1 hour,Very Comfortable,Probably not,1,0,0,0,1,0,Bundle Deals,Somewhat Important,I seek diversity from other regions,Local boutiques/tailors,Established Family (Children 12+),Likely,40,35.0,1,30000,1,150000,3500,2,5,2,3,1,1,4,3,2,4,3,1,3.5,30000,Premium_Connoisseur
VSTR_0007,Male,25-34,₹6 - ₹10 Lakhs,Freelancer / Gig Worker,Tier-1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"₹2,500 - ₹5,000",0,0,0,0,0,0,0,1,1,0,1,0,0,0,I shop evenly throughout the year,3-5 times (Occasional),0,0,0,0,0,1,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),1,1,0,0,0,0,Instagram/Facebook Ads & Reels,Minimalist/Understated,Design & Aesthetic Appeal,1 - 2 hours,Very Comfortable,Probably not,1,0,0,0,1,0,Flat Percentage Discount,Very Important,No - purely design-based,Myntra/Ajio/Amazon,Single/Living alone,Highly Likely,30,8.0,2,3750,2,10000,0,3,5,2,4,2,1,5,2,1,3,0,0,4.0,7500,Young_Trendsetter
VSTR_0008,Female,35-44,Below ₹3 Lakhs,Salaried Professional,Tier-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,"Below ₹1,000",0,0,0,0,0,1,0,1,0,1,1,1,0,0,Wedding Season (Nov-Feb),3-5 times (Occasional),0,0,0,0,1,0,"Below ₹5,000",₹0 (I don't gift textiles),0,1,1,0,0,0,Instagram/Facebook Ads & Reels,Minimalist/Understated,Comfort & Fabric Feel,1 - 2 hours,Somewhat Comfortable,Probably yes,0,1,1,0,0,0,Free Shipping,Very Important,No - purely design-based,Myntra/Ajio/Amazon,Joint Family/Multi-generational,Highly Likely,40,2.0,2,700,2,3000,0,3,4,4,4,2,1,5,1,1,4,1,0,3.5,1400,Modern_Minimalist
VSTR_0009,Female,18-24,₹6 - ₹10 Lakhs,Salaried Professional,Tier-2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,"₹2,500 - ₹5,000",0,1,0,1,0,0,0,1,0,0,1,1,1,0,Wedding Season (Nov-Feb),3-5 times (Occasional),1,0,0,1,1,0,"₹5,000 - ₹15,000","₹10,000 - ₹25,000",1,0,1,0,0,0,Instagram/Facebook Ads & Reels,Bold/Statement,Design & Aesthetic Appeal,30 min - 1 hour,Somewhat Comfortable,"Yes, definitely",1,1,0,0,0,0,Free Shipping,Not Important,Strongly Yes,Local boutiques/tailors,Joint Family/Multi-generational,Neutral,21,8.0,3,3750,2,10000,17500,2,4,5,1,4,0,3,3,3,4,2,1,3.0,7500,Gift_Buyer
VSTR_0010,Female,25-34,₹6 - ₹10 Lakhs,Student,Metro,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"₹2,500 - ₹5,000",0,1,0,1,0,0,0,0,0,0,1,1,0,0,I shop evenly throughout the year,3-5 times (Occasional),0,0,0,0,0,1,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,1,0,0,1,0,Instagram/Facebook Ads & Reels,Indo-Western Fusion,Design & Aesthetic Appeal,More than 4 hours,Very Comfortable,Probably not,0,1,1,0,0,0,Flat Percentage Discount,Very Important,Somewhat Yes,Myntra/Ajio/Amazon,Newly Married/Couple,Highly Likely,30,8.0,1,3750,2,10000,0,5,5,2,4,3,1,5,1,1,2,2,0,5.0,7500,Young_Trendsetter
